a52dec 0.7.4-9
accountsservice 0.6.43-1
acl 2.2.52-3
acpi 1.7-1
acpid 2.0.28-1
adwaita-icon-theme 3.22.0+1+g58cd459e-1
alsa-lib 1.1.3-1
alsa-utils 1.1.3-2
alsaequal 0.6-16
archlinux-keyring 20170320-1
asoundconf 1:1.2-1
aspell 0.60.6.1-5
at-spi2-atk 2.22.0-1
at-spi2-core 2.22.0-1
atk 2.24.0-1
atkmm 2.24.2+1+gf30b47f-1
attr 2.4.47-2
autoconf 2.69-4
automake 1.15-2
avahi 0.6.32-3
bash 4.4.012-2
bc 1.06.95-3
binutils 2.28.0-2
bison 3.0.4-2
boost-libs 1.63.0-1
bridge-utils 1.6-1
broadcom-wl-dkms 6.30.223.271-11
bspwm-git 1262-1
bzip2 1.0.6-6
c-ares 1.12.0-1
ca-certificates 20170307-1
ca-certificates-cacert 20140824-4
ca-certificates-mozilla 3.29.3-2
ca-certificates-utils 20170307-1
cairo 1.14.8-1
cairomm 1.12.2-1
cantarell-fonts 1:0.0.25-3
caps 0.9.24-2
cmake 3.7.2-1
compositeproto 0.4.2-3
compton 0.1_beta2.5-5
coreutils 8.26-1
cower 16-1
cracklib 2.9.6-1
cryptsetup 1.7.4-1
cups 2.2.3-1
cups-filters 1.13.4-1
cups-pdf 3.0.1-1
curl 7.53.1-1
damageproto 1.2.1-3
db 5.3.28-3
dbus 1.10.16-2
dbus-glib 0.108-1
dcadec 0.2.0-1
dconf 0.26.0-2
desktop-file-utils 0.23-1
device-mapper 2.02.169-1
dhcpcd 6.11.5-1
dialog 1:1.3_20170131-1
diffutils 3.5-1
discord 0.0.1-7
dkms 2.3-2
dnssec-anchors 20170228-1
docker 1:17.04.0-1
docker-compose 1.11.2-1
dri2proto 2.8-2
dri3proto 1.0-1
dropbox 23.4.18-1
dropbox-cli 2015.10.28-2
e2fsprogs 1.43.4-1
electron 1.4.15-1
emojione-color-font 1.3-1
enchant 1.6.1-1
exempi 2.4.2-1
exfat-dkms-git 186.97f9e2d-1
exfat-utils-nofuse 1.2.6-1
expac 8-1
expat 2.2.0-2
faad2 2.7-4
fakeroot 1.21-2
feh 2.18.3-1
ffmpeg 1:3.2.4-1
ffmpeg2.8 2.8.11-1
fftw 3.3.6-2
file 5.30-1
filesystem 2017.03-2
findutils 4.6.0-2
fixesproto 5.0+9+g4292ec1-1
flac 1.3.2-1
flex 2.6.3-2
fontconfig 2.12.1-4
fontsproto 2.1.3-1
foomatic-db-engine 4:4.0.12-3
freeglut 3.0.0-1
freetype2 2.7.1-1
fribidi 0.19.7-1
fuse-common 3.0.0-1
fuse2 2.9.7-3
gawk 4.1.4-2
gc 7.6.0-1
gcc-libs-multilib 6.3.1-2
gcc-multilib 6.3.1-2
gconf 3.2.6-5
gcr 3.20.0+11+g8322f27-1
gdbm 1.13-1
gdk-pixbuf2 2.36.5-1
geoclue2 2.4.5-1
gettext 0.19.8.1-2
ghostscript 9.21-1
giflib 5.1.4-1
git 2.12.2-2
glew 2.0.0-1
glib-networking 2.50.0-1
glib2 2.50.3-1
glibc 2.25-1
glibmm 2.50.0-1
glproto 1.4.17-1
glu 9.0.0-4
gmp 6.1.2-1
gnome-autoar 0.1.1+1+g8d75c44-1
gnome-backgrounds 3.22.1-1
gnome-desktop 1:3.22.2-1
gnupg 2.1.20-1
gnutls 3.5.10-1
go 2:1.8.1-1
go-tools 2:1.8.r2071.5682db0e-3
gobject-introspection 1.50.0+1+gb8d92b0-2
gobject-introspection-runtime 1.50.0+1+gb8d92b0-2
google-chrome 58.0.3029.81-1
gperftools 2.5-1
gpgme 1.9.0-1
gpm 1.20.7-7
graphite 1:1.3.9-1
grep 3.0-1
groff 1.22.3-7
grub 1:2.02.rc2-1
gsettings-desktop-schemas 3.22.0+1+g6f52ab5-1
gsl 2.3-1
gsm 1.0.16-1
gst-plugins-base-libs 1.10.4-1
gstreamer 1.10.4-1
gtk-update-icon-cache 3.22.10-1
gtk2 2.24.31-1
gtk3 3.22.10-1
gtkmm 2.24.5-2
gtkspell 2.0.16-3
guile 2.0.14-1
gvfs 1.30.3-1
gzip 1.8-2
harfbuzz 1.4.5-1
harfbuzz-icu 1.4.5-1
hdf5 1.10.0_patch1-1
hdparm 9.51-1
hicolor-icon-theme 0.15-1
hplip 3.16.11-2
hspell 1.3-1
http-parser 2.7.1-1
hunspell 1.5.4-1
hwids 20161103-1
hyphen 2.8.8-1
iana-etc 20170224-1
icu 58.2-1
ijs 0.35-1
imagemagick 6.9.8.3-1
imlib2 1.4.9-1
inetutils 1.9.4-5
inkscape 0.92.1-1
inputproto 2.3.2-1
iproute2 4.10.0-3
iptables 1.6.1-1
iputils 20161105.1f2bb12-1
iso-codes 3.74-1
iw 4.9-1
jack 0.125.0-3
jasper 2.0.12-1
jbig2dec 0.13-1
